"gene","rate_grp_1","rate_grp_1_95_low","rate_grp_1_95_high","data_type"
"PTEN",1.38250374523524e-06,1.33637738669638e-06,1.42938405245202e-06,"All"
"STK11",2.31124118237171e-06,2.24395754532993e-06,2.37921420947855e-06,"All"
"NF1",1.85668723052091e-06,1.82765883522278e-06,1.88462949017173e-06,"All"
"SETD2",6.35414869168027e-07,6.28084783797683e-07,6.42614912568893e-07,"All"
"STAG2",1.22094447218018e-06,1.19495695087255e-06,1.24648335609459e-06,"All"
"TSC1",1.05640882156371e-06,1.03858118196015e-06,1.07414708983809e-06,"All"
"RB1",1.21689390809066e-06,1.19307337381654e-06,1.24048502415163e-06,"All"
"FBXW7",1.38973365547375e-06,1.36136743576022e-06,1.41805433612507e-06,"All"
"RNF43",1.52621594403424e-06,1.49110064388293e-06,1.56129866345192e-06,"All"
"RBM10",1.68911431431405e-06,1.6528791025831e-06,1.72519412949464e-06,"All"
"MGA",1.08885369582293e-06,1.07121975909265e-06,1.10587665585422e-06,"All"
"KEAP1",1.37364739505633e-06,1.33538185194164e-06,1.41199022089151e-06,"All"
"KMT2D",1.57236721907983e-06,1.55130278237912e-06,1.59201333056584e-06,"All"
"SMAD4",1.39248135898495e-06,1.3626667681891e-06,1.42247282887231e-06,"All"
"CMTR2",4.24318639088009e-07,4.0925416607673e-07,4.39510624193715e-07,"All"
"TP53",2.15976760889825e-06,2.08604386788841e-06,2.23470709053964e-06,"All"
"NF2",6.25193766996753e-07,5.98831970928122e-07,6.52145640235277e-07,"All"
"APC",8.05410763021643e-07,7.94581367647487e-07,8.15926602376483e-07,"All"
"PTPRD",7.23233314398765e-06,7.165156728693e-06,7.29772763222118e-06,"All"
"ATM",8.31360278130845e-07,8.20750649106879e-07,8.41560987547427e-07,"All"
"MSH2",1.4624645302337e-06,1.43328573919459e-06,1.49136010690174e-06,"All"
"ARID2",1.81652318646199e-06,1.78886109091504e-06,1.84353387912342e-06,"All"
"KDM6A",1.3592099955352e-06,1.33878654744968e-06,1.37938959847477e-06,"All"
"ATRX",1.45215088729295e-06,1.42894951517317e-06,1.4747350163649e-06,"All"
"BRCA2",6.56061393874306e-07,6.4763499104197e-07,6.64154864964476e-07,"All"
"PALB2",1.13041723932911e-06,1.09978292698615e-06,1.16101645290872e-06,"All"
"CDKN2A.p14arf",7.12333945074063e-06,6.90605238922542e-06,7.34437526646186e-06,"All"
"CDKN2A.p16INK4a",3.56846014514934e-06,3.47033878681853e-06,3.66767924260846e-06,"All"
"KRAS",8.7030234041428e-07,8.3985032750723e-07,9.01543288163956e-07,"All"
"BRAF",6.76226682906455e-07,6.61168902173453e-07,6.91287036879102e-07,"All"
"EGFR",2.26524662559907e-06,2.21738554854474e-06,2.31213748380263e-06,"All"
"PTEN",1.7328517105003e-06,1.67085398389949e-06,1.79594310213685e-06,"Smo"
"STK11",2.76927626074214e-06,2.6793588298425e-06,2.86039390770026e-06,"Smo"
"NF1",2.67955993635801e-06,2.63319619269939e-06,2.72411005575651e-06,"Smo"
"SETD2",1.14007223192638e-06,1.12557179225629e-06,1.15430530708185e-06,"Smo"
"STAG2",1.81762693256227e-06,1.77635518046942e-06,1.85812573726762e-06,"Smo"
"TSC1",1.5250841808726e-06,1.49644682771823e-06,1.55360396924727e-06,"Smo"
"RB1",1.21194136592891e-06,1.1863976857106e-06,1.23722617615584e-06,"Smo"
"FBXW7",1.93152149258987e-06,1.88913835109178e-06,1.97383795925184e-06,"Smo"
"RNF43",2.73472352497175e-06,2.66567272687384e-06,2.80377638020079e-06,"Smo"
"RBM10",2.21883074665625e-06,2.16590541954333e-06,2.27159329726645e-06,"Smo"
"MGA",1.66855593736928e-06,1.63880999944773e-06,1.69722037977043e-06,"Smo"
"KEAP1",1.81750699842706e-06,1.7603834112896e-06,1.87491820501117e-06,"Smo"
"KMT2D",2.3593157059459e-06,2.32274302404866e-06,2.39327334896986e-06,"Smo"
"SMAD4",2.45649277077206e-06,2.3995472763833e-06,2.51382769476073e-06,"Smo"
"CMTR2",6.49677439492206e-07,6.24429264297733e-07,6.75196452847099e-07,"Smo"
"TP53",1.47124326877873e-06,1.4162113210207e-06,1.52733431825061e-06,"Smo"
"NF2",5.87001651730633e-07,5.59371551672814e-07,6.15402752100514e-07,"Smo"
"APC",1.47922046004515e-06,1.45769435813786e-06,1.5000817264655e-06,"Smo"
"PTPRD",1.29090775283751e-05,1.27804029886648e-05,1.30341095189538e-05,"Smo"
"ATM",1.1228046357017e-06,1.10740182787911e-06,1.13757356783476e-06,"Smo"
"MSH2",2.16350106623373e-06,2.1170641967863e-06,2.20946555837212e-06,"Smo"
"ARID2",2.85299229623377e-06,2.80608426795496e-06,2.89872238227682e-06,"Smo"
"KDM6A",1.82601334969189e-06,1.7962645523202e-06,1.85539129878162e-06,"Smo"
"ATRX",1.99147577634592e-06,1.95659668699803e-06,2.02538374162236e-06,"Smo"
"BRCA2",1.01311227872449e-06,9.99012846968952e-07,1.02662013181635e-06,"Smo"
"PALB2",1.98436951482953e-06,1.92412706517683e-06,2.04468373133983e-06,"Smo"
"CDKN2A.p14arf",1.0745410150345e-05,1.03949740822368e-05,1.11023213613741e-05,"Smo"
"CDKN2A.p16INK4a",5.01430331175368e-06,4.86759959856396e-06,5.16272142408326e-06,"Smo"
"KRAS",1.36876919604097e-06,1.31751121653892e-06,1.4214520130963e-06,"Smo"
"BRAF",1.12543854157608e-06,1.09803641242337e-06,1.15287032309995e-06,"Smo"
"EGFR",3.3503900764458e-06,3.27145312566842e-06,3.42774857581391e-06,"Smo"
"PTEN",4.49751337242486e-07,4.08353599556781e-07,4.95240924817649e-07,"nonSmo"
"STK11",8.30874574464483e-07,7.6175538439464e-07,9.05950741214524e-07,"nonSmo"
"NF1",6.0292826170283e-07,5.41525526944264e-07,6.69812092708148e-07,"nonSmo"
"SETD2",3.00055292801124e-07,2.81415638793797e-07,3.19750510234619e-07,"nonSmo"
"STAG2",4.49864977173475e-07,4.04463123899953e-07,4.99924673902724e-07,"nonSmo"
"TSC1",4.56411692480731e-07,4.26036784254522e-07,4.88767234374627e-07,"nonSmo"
"RB1",6.28066347210577e-07,5.74812813743381e-07,6.85861305965761e-07,"nonSmo"
"FBXW7",4.15723630875441e-07,3.84518221816369e-07,4.4933078861447e-07,"nonSmo"
"RNF43",3.72317220492078e-07,3.42044143153864e-07,4.05111376282628e-07,"nonSmo"
"RBM10",5.18874681153808e-07,4.77085960829289e-07,5.64033478624194e-07,"nonSmo"
"MGA",4.0623829853252e-07,3.6532002780909e-07,4.5083641672367e-07,"nonSmo"
"KEAP1",7.62365780872638e-07,6.9306996876468e-07,8.38043369468887e-07,"nonSmo"
"KMT2D",5.73519827717761e-07,5.23390990564833e-07,6.26436397007904e-07,"nonSmo"
"SMAD4",3.92605598371134e-07,3.66743350393213e-07,4.20221198115733e-07,"nonSmo"
"CMTR2",3.85402539315872e-07,3.42286815585531e-07,4.33666786979262e-07,"nonSmo"
"TP53",6.53828046972126e-07,5.9573793199634e-07,7.17374791340422e-07,"nonSmo"
"NF2",5.61875067744764e-07,5.02242225030989e-07,6.28231309157346e-07,"nonSmo"
"APC",3.02807203321935e-07,2.76812062185544e-07,3.30827156959266e-07,"nonSmo"
"PTPRD",7.18144160311939e-07,6.69215251567742e-07,7.69984248612412e-07,"nonSmo"
"ATM",4.61302236682695e-07,4.16713181612179e-07,5.09680715509629e-07,"nonSmo"
"MSH2",5.35458140776514e-07,4.90069895010633e-07,5.84724172025211e-07,"nonSmo"
"ARID2",3.87854329361315e-07,3.53738898589649e-07,4.24851508409915e-07,"nonSmo"
"KDM6A",3.47964810721077e-07,3.23016037441056e-07,3.74664988039052e-07,"nonSmo"
"ATRX",5.12297605493413e-07,4.65226870030905e-07,5.63404343757939e-07,"nonSmo"
"BRCA2",3.32456260995349e-07,3.01138602047323e-07,3.66308863501501e-07,"nonSmo"
"PALB2",3.71125928152015e-07,3.35958332674874e-07,4.0967268700919e-07,"nonSmo"
"CDKN2A.p14arf",7.81427760508168e-07,7.19001840521063e-07,8.49159749347635e-07,"nonSmo"
"CDKN2A.p16INK4a",8.81957190706912e-07,8.11904734937189e-07,9.57897403018541e-07,"nonSmo"
"KRAS",4.20959395600539e-07,3.85936064836776e-07,4.59119393083061e-07,"nonSmo"
"BRAF",3.93675792214233e-07,3.63467251660922e-07,4.26251627976363e-07,"nonSmo"
"EGFR",6.64618051815643e-07,5.99006413220761e-07,7.36445644342228e-07,"nonSmo"
